age,gender,uni,monthly_food_expenses
23,male,ETH Zürich,500
24,male,ETH Zürich,750
24,male,not a student,500
22,female,ETH Zürich,300
21,male,ETH Zürich,300
24,female,ETH Zürich,300
22,female,ETH Zürich,300
24,NA,ETH Zürich,300
24,female,ETH Zürich,300
23,male,ETH Zürich,750
24,male,ETH Zürich,500
24,male,not a student,750
25,female,ETH Zürich,300
23,male,ETH Zürich,300
25,male,ETH Zürich,300
24,non-binary,ETH Zürich,300
25,male,ETH Zürich,300
24,male,Zhdk,500
24,male,ETH Zürich,500
21,male,ETH Zürich,300
21,female,ZHAW,300
